Department	CourseID	Credits	Course Name	
AFGN	101	1.5	HERITAGE AND VALUES I	
AFGN	102	1.5	HERITAGE AND VALUES II	
AFGN	201	1.5	TEAM AND LEADERSHIP FUNDAMENTALS I	
AFGN	202	1.5	TEAM AND LEADERSHIP FUNDAMENTALS II	
AFGN	301	3.5	LEADING PEOPLE AND EFFECTIVE COMMUNICATION I	
AFGN	302	3.5	LEADING PEOPLE AND EFFECTIVE COMMUNICATION II	
AFGN	401	3.5	"NATIONAL SECURITY, LEADERSHIP RESPONSIBILITIES, COMMISSIONING PREPARATION I"	
AFGN	402	3.5	"NATIONAL SECURITY, LEADERSHIP RESPONSIBILITIES, COMMISSIONING PREPARATION II"	
BIOL	300	3.0	INTRODUCTION TO QUANTITATIVE BIOLOGY I	
BIOL	300	3.0	INTRO TO QUANTITATIVE BIOLOGY	
BIOL	301	3.0	INTRO TO QUANTITATIVE BIOLOGY II	
BIOL	500	3.0	CELL BIOLOGY AND BIOCHEMISTRY	
BIOL	510	3.0	BIOINFORMATICS	
BIOL	520	3.0	SYSTEMS BIOLOGY	
CBEN	110	4.0	FUNDAMENTALS OF BIOLOGY I	
CBEN	120	4.0	FUNDAMENTALS OF BIOLOGY II	
CBEN	201	3.0	MATERIAL AND ENERGY BALANCES	
CBEN	250	3.0	INTRODUCTION TO CHEMICAL ENGINEERING ANALYSIS AND DESIGN	
CBEN	304	3.0	ANATOMY AND PHYSIOLOGY	
CBEN	305	1.0	ANATOMY AND PHYSIOLOGY LAB	
CBEN	307	3.0	FLUID MECHANICS	
CBEN	308	3.0	HEAT TRANSFER	
CBEN	310	3.0	INTRODUCTION TO BIOMEDICAL ENGINEERING	
CBEN	311	3.0	INTRODUCTION TO NEUROSCIENCE	csci101
CBEN	312	3.0	UNIT OPERATIONS LABORATORY	csci102
CBEN	313	3.0	UNIT OPERATIONS LABORATORY	csci103
CBEN	314	4.0	CHEMICAL ENGINEERING HEAT AND MASS TRANSFER	megn200
CBEN	315	3.0	INTRODUCTION TO ELECTROCHEMICAL ENGINEERING	
CBEN	320	3.0	CELL BIOLOGY AND PHYSIOLOGY	
CBEN	321	4.0	INTRO TO GENETICS	
CBEN	322	3.0	BIOLOGICAL PSYCHOLOGY	
CBEN	324	3.0	INTRODUCTION TO BREWING SCIENCE	
CBEN	357	3.0	CHEMICAL ENGINEERING THERMODYNAMICS	
CBEN	358	1.0	CHEMICAL ENGINEERING THERMODYNAMICS LABORATORY	
CBEN	360	3.0	BIOPROCESS ENGINEERING	
CBEN	365	3.0	INTRODUCTION TO CHEMICAL ENGINEERING PRACTICE	
CBEN	372	3.0	INTRODUCTION TO BIOENERGY	
CBEN	375	3.0	CHEMICAL ENGINEERING SEPARATIONS	
CBEN	401	3.0	PROCESS OPTIMIZATION	
CBEN	402	3.0	CHEMICAL ENGINEERING DESIGN	
CBEN	403	3.0	PROCESS DYNAMICS AND CONTROL	
CBEN	408	3.0	NATURAL GAS PROCESSING	
CBEN	409	3.0	PETROLEUM PROCESSES	
CBEN	412	3.0	INTRODUCTION TO PHARMACOLOGY	
CBEN	413	3.0	QUANTITATIVE HUMAN BIOLOGY	
CBEN	414	1.0	CHEMICAL PROCESS SAFETY	
CBEN	415	3.0	POLYMER SCIENCE AND TECHNOLOGY	
CBEN	416	3.0	POLYMER ENGINEERING AND TECHNOLOGY	
CBEN	418	3.0	KINETICS AND REACTION ENGINEERING	
CBEN	420	3.0	MATHEMATICAL METHODS IN CHEMICAL ENGINEERING	
CBEN	422	3.0	CHEMICAL ENGINEERING FLOW ASSURANCE	
CBEN	426	3.0	ADVANCED FUNCTIONAL POROUS MATERIALS	
CBEN	430	3.0	TRANSPORT PHENOMENA	
CBEN	431	3.0	IMMUNOLOGY FOR ENGINEERS AND SCIENTISTS	
CBEN	432	3.0	TRANSPORT PHENOMENA IN BIOLOGICAL SYSTEMS	
CBEN	435	3.0	INTERDISCIPLINARY MICROELECTRONICS	
CBEN	440	3.0	MOLECULAR PERSPECTIVES IN CHEMICAL ENGINEERING	
CBEN	454	3.0	APPLIED BIOINFORMATICS	
CBEN	460	3.0	BIOCHEMICAL PROCESS ENGINEERING	
CBEN	461	1.0	BIOCHEMICAL PROCESS ENGINEERING LABORATORY	
CBEN	469	3.0	FUEL CELL SCIENCE AND TECHNOLOGY	
